date,st_index,prc_trump
20/05/2016,0.502003216,0.487248941
21/05/2016,0.459138325,0.462311558
22/05/2016,0.378006206,0.476695244
24/05/2016,0.461421976,0.479419477
25/05/2016,0.449921148,0.459926017
26/05/2016,0.505097972,0.477667494
27/05/2016,0.405149239,0.463354037
28/05/2016,0.349379062,0.447073474
29/05/2016,0.434936078,0.485148684
30/05/2016,0.435419917,0.474286865
31/05/2016,0.400533558,0.430693069
01/06/2016,0.40322267,0.460131589
02/06/2016,0.442041013,0.428745432
03/06/2016,0.406973862,0.42804428
04/06/2016,0.378565944,0.419154229
05/06/2016,0.363858945,0.474530479
06/06/2016,0.362715594,0.424469413
07/06/2016,0.386580707,0.481666667
08/06/2016,0.422410907,0.470281294
09/06/2016,0.468684264,0.435549553
10/06/2016,0.46350122,0.404600812
11/06/2016,0.496349853,0.414168937
12/06/2016,0.55060084,0.4671165
13/06/2016,0.530177249,0.43537593
14/06/2016,0.437357478,0.41369863
15/06/2016,0.436130794,0.439741235
16/06/2016,0.423192771,0.455764823
17/06/2016,0.457214538,0.421895861
18/06/2016,0.478934553,0.438812303
19/06/2016,0.475886576,0.47141973
20/06/2016,0.475532501,0.474355027
21/06/2016,0.539323504,0.447646675
22/06/2016,0.607092697,0.427318296
23/06/2016,0.575637121,0.45321596
24/06/2016,0.50740712,0.42958226
19/07/2016,0.539391755,0.490524631
20/07/2016,0.540539626,0.491850562
21/07/2016,0.619561754,0.497169453
22/07/2016,0.588076462,0.508093112
23/07/2016,0.668911747,0.515518145
24/07/2016,0.668537031,0.51192058
25/07/2016,0.643780091,0.5173189
26/07/2016,0.562145628,0.521654039
27/07/2016,0.543506494,0.498311375
28/07/2016,0.552362841,0.51518581
29/07/2016,0.600215731,0.493662053
30/07/2016,0.498497043,0.488789294
31/07/2016,0.532643596,0.474215267
01/08/2016,0.538380471,0.481216058
02/08/2016,0.566220432,0.474540767
03/08/2016,0.56399472,0.463513812
04/08/2016,0.576048199,0.467515823
05/08/2016,0.531969965,0.466201308
06/08/2016,0.539298918,0.458690398
07/08/2016,0.538496716,0.458334966
08/08/2016,0.57217178,0.462626593
09/08/2016,0.624773533,0.455193807
10/08/2016,0.606307283,0.471335444
11/08/2016,0.609733736,0.477067764
12/08/2016,0.631814444,0.4721352
13/08/2016,0.633095945,0.469622869
14/08/2016,0.591763096,0.461564577
15/08/2016,0.562805673,0.465523229
16/08/2016,0.594845625,0.464199836
17/08/2016,0.551069519,0.480892553
18/08/2016,0.559005042,0.475389966
19/08/2016,0.499907425,0.476539016
20/08/2016,0.527563145,0.484197502
21/08/2016,0.324324324,0.471823869
22/08/2016,0.600338696,0.480541882
23/08/2016,0.586871044,0.483214315
24/08/2016,0.567272368,0.484004103
25/08/2016,0.553390548,0.483309587
26/08/2016,0.594591939,0.484602309
27/08/2016,0.623625495,0.485240958
28/08/2016,0.612246548,0.476702557
29/08/2016,0.598098584,0.486238635
30/08/2016,0.580259626,0.48346323
31/08/2016,0.585241939,0.495947828
01/09/2016,0.567934729,0.488011099
02/09/2016,0.599907502,0.496326804
03/09/2016,0.605966335,0.497662346
04/09/2016,0.633246345,0.479091914
