date,twitter_index,prc_trump
21/05/2016,0.529411765,0.462311558
22/05/2016,0.470588235,0.476695244
24/05/2016,0.614035088,0.479419477
25/05/2016,0.594059406,0.459926017
26/05/2016,0.512605042,0.477667494
27/05/2016,0.550724638,0.463354037
28/05/2016,0.534246575,0.447073474
29/05/2016,0.631578947,0.485148684
30/05/2016,0.547368421,0.474286865
31/05/2016,0.495049505,0.430693069
01/06/2016,0.586206897,0.460131589
02/06/2016,0.64,0.428745432
03/06/2016,0.536231884,0.42804428
04/06/2016,0.658227848,0.419154229
05/06/2016,0.630434783,0.474530479
06/06/2016,0.548571429,0.424469413
07/06/2016,0.511428571,0.481666667
08/06/2016,0.590062112,0.470281294
09/06/2016,0.661870504,0.435549553
10/06/2016,0.536723164,0.404600812
11/06/2016,0.626984127,0.414168937
12/06/2016,0.632075472,0.4671165
13/06/2016,0.564705882,0.43537593
14/06/2016,0.546153846,0.41369863
15/06/2016,0.669491525,0.439741235
16/06/2016,0.626865672,0.455764823
17/06/2016,0.657407407,0.421895861
18/06/2016,0.711111111,0.438812303
19/06/2016,0.626506024,0.47141973
20/06/2016,0.65060241,0.474355027
21/06/2016,0.632911392,0.447646675
22/06/2016,0.6640625,0.427318296
23/06/2016,0.646464646,0.45321596
24/06/2016,0.407534247,0.42958226
19/07/2016,0.553719008,0.490524631
20/07/2016,0.538720539,0.491850562
21/07/2016,0.485458613,0.497169453
22/07/2016,0.587458746,0.508093112
23/07/2016,0.591489362,0.515518145
24/07/2016,0.67032967,0.51192058
25/07/2016,0.584551148,0.5173189
26/07/2016,0.508241758,0.521654039
27/07/2016,0.527777778,0.498311375
28/07/2016,0.463963964,0.51518581
29/07/2016,0.527918782,0.493662053
30/07/2016,0.453900709,0.488789294
31/07/2016,0.634831461,0.474215267
01/08/2016,0.4921875,0.481216058
02/08/2016,0.446327684,0.474540767
03/08/2016,0.483660131,0.463513812
04/08/2016,0.489583333,0.467515823
05/08/2016,0.466101695,0.466201308
06/08/2016,0.591397849,0.458690398
07/08/2016,0.532608696,0.458334966
08/08/2016,0.570093458,0.462626593
09/08/2016,0.5,0.455193807
10/08/2016,0.442857143,0.471335444
11/08/2016,0.648648649,0.477067764
12/08/2016,0.566666667,0.4721352
13/08/2016,0.580246914,0.469622869
14/08/2016,0.558441558,0.461564577
15/08/2016,0.545454545,0.465523229
16/08/2016,0.616666667,0.464199836
17/08/2016,0.449438202,0.480892553
18/08/2016,0.547619048,0.475389966
19/08/2016,0.435294118,0.476539016
20/08/2016,0.464285714,0.484197502
21/08/2016,0.53030303,0.471823869
22/08/2016,0.578947368,0.480541882
23/08/2016,0.538461538,0.483214315
24/08/2016,0.736842105,0.484004103
25/08/2016,0.783898305,0.483309587
26/08/2016,0.46031746,0.484602309
27/08/2016,0.483146067,0.485240958
28/08/2016,0.584415584,0.476702557
29/08/2016,0.454545455,0.486238635
30/08/2016,0.476744186,0.48346323
31/08/2016,0.649350649,0.495947828
01/09/2016,0.589041096,0.488011099
02/09/2016,0.553571429,0.496326804
03/09/2016,0.378787879,0.497662346
04/09/2016,0.589041096,0.479091914
05/09/2016,0.597402597,0.497134218
06/09/2016,0.533333333,0.488823758
07/09/2016,0.59047619,0.483314338
08/09/2016,0.480519481,0.487343628
09/09/2016,0.393442623,0.496133595
10/09/2016,0.548076923,0.491512833
11/09/2016,0.533333333,0.488905545
12/09/2016,0.393939394,0.480197116
13/09/2016,0.535714286,0.496304901
14/09/2016,0.485294118,0.496746568
15/09/2016,0.44,0.501221071
16/09/2016,0.553571429,0.496360152
17/09/2016,0.54954955,0.508147497
18/09/2016,0.563492063,0.483619807
19/09/2016,0.515957447,0.494471352
20/09/2016,0.569105691,0.494179479
21/09/2016,0.565217391,0.504513552
22/09/2016,0.585365854,0.489970067
23/09/2016,0.669201521,0.492676035
24/09/2016,0.579545455,0.501735318
25/09/2016,0.539007092,0.476800795
26/09/2016,0.623115578,0.489649899
27/09/2016,0.537142857,0.48523096
28/09/2016,0.604166667,0.496481852
29/09/2016,0.507692308,0.494527675
30/09/2016,0.547619048,0.493532467
01/10/2016,0.558823529,0.495704763
02/10/2016,0.529411765,0.471014946
03/10/2016,0.582608696,0.475307414
04/10/2016,0.547297297,0.494308701
05/10/2016,0.474226804,0.491880193
06/10/2016,0.467532468,0.48421066
07/10/2016,0.529411765,0.48220819
08/10/2016,0.46991404,0.474759983
09/10/2016,0.547008547,0.470365872
10/10/2016,0.527173913,0.470581794
11/10/2016,0.527093596,0.472777794
12/10/2016,0.582159624,0.478591784
13/10/2016,0.520361991,0.474001465
14/10/2016,0.468085106,0.469141091
